ID,Game,Total Runs
419130,MI vs DeC [2010],282
598031,PK vs KKR [2013],282
548337,PW vs DC [2012],282
336004,MI vs DC [2008],281
1304087,KKR vs DC [2022],281
419123,RCB vs CSK [2010],281
598038,PW vs CSK [2013],281
1359529,DC vs CSK [2023],281
1426275,PK vs GT [2024],281
598009,RR vs PW [2013],280
1304114,RR vs CSK [2022],280
829707,DC vs CSK [2015],280
1359500,RR vs LSG [2023],280
501261,KTK vs CSK [2011],280
829751,SRH vs MI [2015],279
419138,MI vs DeC [2010],279
1181767,DC vs CSK [2019],279
980935,SRH vs PK [2016],279
1136612,DC vs CSK [2018],279
1304083,MI vs LSG [2022],278
1426298,MI vs KKR [2024],278
501237,PK vs MI [2011],278
501207,PW vs KTK [2011],277
548332,RR vs CSK [2012],277
548357,KKR vs DC [2012],277
1254104,MI vs CSK [2021],277
392218,RCB vs MI [2009],277
734015,SRH vs KKR [2014],277
980955,PK vs GL [2016],277
419126,RR vs DeC [2010],277
598032,SRH vs RR [2013],277
392202,RR vs CSK [2009],277
336007,DeC vs CSK [2008],277
734003,RR vs CSK [2014],277
729281,RCB vs DC [2014],277
598052,RR vs PK [2013],277
1359508,SRH vs DC [2023],276
598058,RR vs CSK [2013],276
1422139,LSG vs GT [2024],276
392198,RR vs DC [2009],276
980915,SRH vs KKR [2016],275
729303,MI vs CSK [2014],275
1082634,SRH vs RSP [2017],275
1254062,MI vs KKR [2021],275
1426299,RR vs CSK [2024],275
392201,DeC vs DC [2009],275
1082607,RSP vs RCB [2017],274
829819,RR vs RCB [2015],274
501241,PW vs MI [2011],274
980923,SRH vs MI [2016],274
419121,PK vs CSK [2010],274
419142,MI vs CSK [2010],274
335993,KKR vs CSK [2008],273
392220,RR vs DeC [2009],273
829739,KKR vs DC [2015],273
1359535,KKR vs CSK [2023],273
1136599,SRH vs RCB [2018],273
1216545,SRH vs KKR [2020],273
501228,PW vs CSK [2011],273
829759,SRH vs PK [2015],272
729279,MI vs KKR [2014],272
548315,RCB vs KKR [2012],272
1254095,SRH vs RCB [2021],271
548360,RCB vs MI [2012],271
1178425,DC vs CSK [2019],271
419160,DeC vs DC [2010],271
548349,RR vs DC [2012],271
734009,MI vs KKR [2014],271
598002,MI vs CSK [2013],271
729311,SRH vs CSK [2014],271
1254066,SRH vs MI [2021],271
501235,RR vs PW [2011],271
548314,MI vs DeC [2012],271
598004,SRH vs RCB [2013],270
1426286,MI vs LSG [2024],270
1254063,SRH vs RCB [2021],270
1304099,LSG vs KKR [2022],270
548369,PK vs DC [2012],270
829743,SRH vs KKR [2015],270
980917,MI vs GL [2016],269
419111,RR vs DC [2010],269
392205,RR vs DeC [2009],269
392197,MI vs KKR [2009],269
501250,PW vs DeC [2011],269
1082596,SRH vs GL [2017],269
548374,PK vs DC [2012],269
501199,RR vs DeC [2011],269
829709,RR vs PK [2015],268
335988,DeC vs DC [2008],268
336037,DeC vs CSK [2008],268
392230,RR vs DC [2009],268
419108,PK vs DC [2010],268
335982,RCB vs KKR [2008],268
336038,RR vs DC [2008],268
829753,PK vs CSK [2015],267
419151,RCB vs DeC [2010],267
392227,MI vs CSK [2009],267
1359523,MI vs CSK [2023],266
1359503,SRH vs CSK [2023],266
392203,MI vs KKR [2009],266
598007,PK vs CSK [2013],266
1136617,SRH vs CSK [2018],265
501205,RCB vs MI [2011],265
829821,RCB vs CSK [2015],265
1136570,SRH vs KKR [2018],265
829779,RCB vs CSK [2015],265
335992,RR vs RCB [2008],264
980925,PK vs KKR [2016],264
392217,RR vs CSK [2009],264
1254099,PK vs MI [2021],264
501230,KKR vs DC [2011],264
548353,PW vs KKR [2012],264
336011,RR vs DeC [2008],264
